Track ID 	 Topic 	 Lyrics 
19243947	Christmas	Another Christmas Another Christmas Another Christmas Another Christmas    
691171	Christmas	Christmas Merry Christmas to you!    
128341	Christmas	Merry Christmas!    
24155951	Christmas	Christmas is a fun time. It is a fun time every December. It is also a joyous month. I like this holiday a lot. Merry Christmas! Merry Christmas! Merry Christmas! Merry Christmas! Christmas is a fun time to get gifts.    
39858928	Christmas	what do you want for christmas? christmas? christmas? what do you want for christmas? santa's on his way. i want a train. i want a great big train. a train? a train! all abroad! what do you want for christmas? christmas? christmas? what do you want for chirstmas? santa's in his way. i want a rocket. i want a rocket. i want a great big rocket.    
68430	Christmas	Christmas time is here again Christmas time is here again Christmas time is here again Christmas time is here again  Ain't been 'round since you know when Christmas time is here again O U T spells out  Christmas time is here again    
104489	Christmas	The first noel The angel did say Was to certain poor shepherds in fields as they lay In fields where they lay keeping their sheep On a cold winter's night That was so deep  Noel, Noel, Noel, Noel Born is the King of Israel HOO, HOO HOO, HOO, broooeee I like Christmas, i like Christmas, I like Christmas, Christmas is fun! I like Christmas, i like Christmas,    
281254	Christmas	Ahh ahh ahh ahh ahh ahh ahh It was then, on the 12th month, on the 25th day A little child was born and brightened up our day And I'm so glad he came to show us what true love is Now I know, Christmas means love Christmas means love (Christmas means love) And joy to your neighbours (Christmas means love) Christmas means love (Christmas means love) And to help one another (Christmas means love) Oh, there's so many definitions as to what Christmas is    
9372633	Christmas	We wish you a Merry Christmas We wish you a Merry Christmas We wish you a Merry Christmas And a Happy New Year  We wish you a Merry Christmas We wish you a Merry Christmas We wish you a Merry Christmas And a Happy New Year  Good tidings we bring to you And all of your kin Good tidings for Christmas    
37749435	Christmas	Oh Christmas tree, Oh Christmas tree! Thy leaves are so unchanging Oh Christmas tree, Oh Christmas tree, Thy leaves are so unchanging    
10328560	Christmas	I saw three ships come sailing in On Christmas day, on Christmas day I saw three ships come sailing in On Christmas day in the morning  And what was in those ships, all three On Christmas day, on Christmas day? And what was in those ships, all three On Christmas day in the morning?  The virgin Mary and Christ were there On Christmas day, on Christmas day The virgin Mary and Christ were there On Christmas day in the morning     
1484786	Christmas	O Christmas tree, O Christmas tree! How are thy leaves so verdant! O Christmas tree, O Christmas tree, How are thy leaves so verdant!  Not only in the summertime, But even in winter is thy prime. O Christmas tree, O Christmas tree, How are thy leaves so verdant!     
14146025	Christmas	We wish you a merry Christmas We wish you a merry Christmas We wish you a merry Christmas And a happy New Year. Glad tidings we bring    
47337805	Christmas	I saw three ships come sailing in On Christmas Day, on Christmas Day I saw three ships come sailing in On Christmas Day in the morning And what was in those ships all three On Christmas Day, on Christmas Day? And what was in those ships all three On Christmas Day in the morning?  The Virgin Mary and Christ were there On Christmas Day, on Christmas Day The Virgin Mary and Christ were there On Christmas Day in the morning Pray, wither sailed those ships all three On Christmas Day, on Christmas Day    
11575923	Christmas	I don't want to feel loved on Christmas, Christmas don't want to come no more I don't want to feel loved on Christmas, cause Christmas just went walking thru that door  I don't care who's right or wrong, I won't try it, even with salt Silence snows thru the cracks, it came unglued and it wont go back    
51565406	Christmas	mmmmmmm mmmmm it took some time for me to realize i should chose of of a bride but immm i was blinded by the thought of never losin you and the little things that i made you slip away like the cards and the mistletoe the presents and the trees you know i need you to come back home cuz i cant be alone on christmas just thank christmas(just thank) if i cant have you right here next to me(ooohhh) christmas(just thank christmas) standin here without the one you love     
14121612	Christmas	It's Christmas-time There's no need to be afraid. At Christmas-time we let in light and we banish shade. And in our world of plenty we can spread a smile of joy. Throw your arms around the world at Christmas-time. But - say a prayer - pray for the other ones. At Christmas-time it's hard but when you're having fun. There's a world outside your window And it's a world of dread and fear Where the only water flowing is the bitter sting of tears. And the Christmas-bells that ring    
68501221	Christmas	It ain't christmas It ain't christmas yet Dream about the things i'll never get    
9138673	Christmas	Christmas makes me sad And Daddy's being bad He made us wait on a tree Bicycles for you and me I want a radio A ghetto blaster and stereo Everybody's got one at school And Mama was nobody's fool  She put it on layaway At the drugstore and paid every payday Her pride never got in here way She loved her girls    
1635267	Christmas	(Excuse me Miss but do you have any) Blue Christmas lights For my Christmas tree I want some blue Christmas lights Just as blue as me  The one I love has set me free But I still got her memory Give me blue Christmas lights For my Christmas tree    
51494891	Christmas	Merry Christmas and Happy Holidays Merry Christmas, Merry Christmas Happy Holidays We've been waiting all year for this night And the snow is glistening on the trees outside And all the stockings are hung by the fire side Waitng for Santa to arrive And all the love will show 'Cause everybody knows It's Christmas time and All the kids will see The gifts under the tree  It's the best time of the year for the family It's a wonderful feeling Feel the love in the room From the floor to the ceiling It's that time of year Christmas time is here And with the blessings from above God sends you his love And everybody's okay Merry Christmas, Happy Holidays Merry Christmas Merry Christmas  Happy Holidays  Bells are ringing    
812126	Christmas	It's Christmas time, It's Christmas time, Peace on earth, this starry night. I will sing my gift to you, A Christmas lullaby.  I hold you close to me under twinkling lights. Rock you softly as the day turns into night. The angels are listening  It's Christmas time It's Christmas time Peace on earth, this starry night. I will sing my gift to you,    
12015463	Christmas	Children lay sleeping with hearts set aglow Streets are silent and covered in snow Almost Christmas Heavenly hosts prepare to sing We wait for the tidings of joy they will bring    
116647	Christmas	Don't despair, Just because it's christmas. Children, they're All so gay at christmas.    
36359	Christmas	People making lists, buying special gifts Taking time to be kind to one and all It's that time of year when good friends are dear And you wish you could give more Than just presents from a store  Why don't you give love on Christmas Day? (Christmas Day) Oh, even the man who has everything Would be so happy if you would bring Him love on Christmas Day (Christmas Day) No greater gift is there than love  People, you don't know, smile and nod hello Everywhere there's an air of Christmas joy    
44947040	Christmas	On the 5th Day of Christmas we raise our voices in Song    
37413341	Christmas	Oh my love we've had our share of tears Oh my friend we've had our hopes and fears Oh my friends it's been a long hard year But now it's Christmas Yes it's Christmas Thank God it's Christmas  The moon and stars seem awful cold and bright Let's hope the snow will make this Christmas right My friend the world will share this special night Because it's Christmas Yes it's Christmas Thank God it's Christmas    
438513	Christmas	We have no jingle bells or sleigh To display on Christmas Day There's not much snow down Texas way But we sure mean it when we say…  Merry Texas Christmas, you all! Merry Texas Christmas, you all! May your days be sunny and bright May your hearts be happy and light Merry Texas Christmas, you all!    
3370508	Christmas	Somebody'd say this tree's not real 'Cause it stands there every year But it makes my holiday feel Like Christmas, when Christmas time is here  Some will say it's not about How many gifts are given out It just makes a holiday feel    
11443211	Christmas	We Wish A Merry Christmas We Wish A Merry Christmas We Wish A Merry Christmas And Happy New Year  We Wish A Merry Christmas We Wish A Merry Christmas We Wish A Merry Christmas    
11620991	Christmas	Nobody wants me for Christmas, I want everyone. Nobody wants me for Christmas, Now the day has come.  Cross my heart, I'll wait so patiently to watch you in your suffering. You're soul's the only gift I'm taking, evil tidings we shall bring.  Sleigh bells ringing, Choir singing. You'll be screaming, We're clawing at your door.  Oh~, I want your soul for Christmas. Oh~, I want your soul for Christmas.    
760931	Christmas	Children carry through the streets A brightly painted star. Angels gather round the hearth, Strumming on guitars. Men of great renown and faith Say prayers on boulevards. It's the night before christmas.  But you don't have to be an angel To sing harmony. You don't have to be a child To love the mystery. (mystery) And you don't have to be a wise man On bended knee. The heart of this christmas is in you and me.    
44561931	Christmas	I'm dreaming of white Christmas, just like ones. I used to know. Where treetops glisten and children listen to hear the sleigh bells in the snow. I'm dreaming of white Christmas with every Christmas card I write.    
